2024-06-02 15:03:51,477: root: INFO: MLTrader : Executing the initialize lifecycle method
2024-06-02 15:03:52,064: root: INFO: Current backtesting datetime 2023-12-15 08:30:00-05:00
2024-06-02 15:03:52,064: root: INFO: MLTrader : Executing the before_market_opens lifecycle method
2024-06-02 15:03:52,064: root: INFO: Current backtesting datetime 2023-12-15 09:30:00-05:00
2024-06-02 15:03:52,064: root: INFO: MLTrader : Executing the before_starting_trading lifecycle method
2024-06-02 15:03:52,065: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-06-02 15:03:52[0m
2024-06-02 15:03:52,065: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-02 15:03:52,067: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-02 15:03:52,067: root: INFO: [32mNew market order of | 106.0 SPY buy | with status unprocessed was submitted.[0m
2024-06-02 15:03:52,069: root: INFO: [34mMLTrader : Trading iteration ended at 2024-06-02 15:03:52[0m
2024-06-02 15:03:52,069: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-06-02 15:03:52,069: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-02 15:03:52,069: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-02 15:03:52,069: root: INFO: [32mFilled Transaction: buy 106.0 of SPY at 469.48999023 USD per share[0m
2024-06-02 15:03:52,069: root: INFO: market order of | 106.0 SPY buy | with status new was filled
2024-06-02 15:03:52,071: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-06-02 15:03:52,071: root: INFO: Current backtesting datetime 2023-12-15 16:00:00-05:00
2024-06-02 15:03:52,071: root: INFO: Current backtesting datetime 2023-12-16 09:30:00-05:00
2024-06-02 15:03:52,072: root: INFO: [34mMLTrader : The market is not currently open, skipping this trading iteration[0m
2024-06-02 15:03:52,072: root: INFO: Current backtesting datetime 2023-12-16 09:29:00-05:00
2024-06-02 15:03:52,073: root: INFO: Current backtesting datetime 2023-12-16 09:29:00-05:00
2024-06-02 15:03:52,073: root: INFO: MLTrader : Executing the after_market_closes lifecycle method
2024-06-02 15:03:52,073: root: INFO: Current backtesting datetime 2023-12-18 08:30:00-05:00
2024-06-02 15:03:52,073: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-02 15:03:52,074: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-02 15:03:52,074: root: INFO: MLTrader : Executing the before_market_opens lifecycle method
2024-06-02 15:03:52,075: root: INFO: Current backtesting datetime 2023-12-18 09:30:00-05:00
2024-06-02 15:03:52,075: root: INFO: MLTrader : Executing the before_starting_trading lifecycle method
2024-06-02 15:03:52,075: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-06-02 15:03:52[0m
2024-06-02 15:03:52,076: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-02 15:03:52,076: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-02 15:03:52,076: root: INFO: [34mMLTrader : Trading iteration ended at 2024-06-02 15:03:52[0m
2024-06-02 15:03:52,077: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-06-02 15:03:52,077: root: INFO: Current backtesting datetime 2023-12-18 16:00:00-05:00
2024-06-02 15:03:52,077: root: INFO: Current backtesting datetime 2023-12-19 09:30:00-05:00
2024-06-02 15:03:52,077: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-06-02 15:03:52[0m
2024-06-02 15:03:52,078: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-02 15:03:52,078: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
