datetime,portfolio_value,cash,return
2020-01-02 09:30:00-05:00,100000.0,100000.0,
2020-01-03 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-10 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-11 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-14 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-15 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-16 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-17 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-18 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-21 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-22 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-23 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-24 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-25 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-27 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-28 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-29 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-30 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-31 09:30:00-05:00,100060.74002838135,50075.89366912842,0.0006074002838134529
2020-02-01 09:30:00-05:00,100060.74002838135,50075.89366912842,0.0
2020-02-03 09:30:00-05:00,97470.6167678833,97470.6167678833,-0.025885509739018375
2020-02-04 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-05 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-06 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-07 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-08 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-10 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-11 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-12 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-13 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-14 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-15 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-18 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-19 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-20 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-21 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-22 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-24 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-25 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-26 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-27 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-28 09:30:00-05:00,97470.6167678833,97470.6167678833,0.0
2020-02-29 09:30:00-05:00,97470.6167678833,146157.07361602783,0.0
2020-03-02 09:30:00-05:00,95036.29392547607,95036.29392547607,-0.024974940378230448
2020-03-03 09:30:00-05:00,95036.29392547607,95036.29392547607,0.0
2020-03-04 09:30:00-05:00,95036.29392547607,95036.29392547607,0.0
2020-03-05 09:30:00-05:00,95036.29392547607,95036.29392547607,0.0
2020-03-06 09:30:00-05:00,95036.29392547607,95036.29392547607,0.0
2020-03-07 09:30:00-05:00,95036.29392547607,95036.29392547607,0.0
2020-03-09 09:30:00-04:00,95036.29392547607,95036.29392547607,0.0
2020-03-10 09:30:00-04:00,95036.29392547607,95036.29392547607,0.0
2020-03-11 09:30:00-04:00,95036.29392547607,95036.29392547607,0.0
